Description model^Car make^Sub category^category path^SKU-CAR^SKU-MODEL^Roof bars mounting^body type^^Bol car models^Variants
RDX I^Acura^RDX I | 2007-2012^Acura[RDX I | 2007-2012^ACU^RX^^suv^^^
S-Class (V223)^Mercedes-Benz^S-Class (W223) | 2020-present^Mercedes-Benz[S-Class (W223) | 2020-present^MB^SK^^4d^^Mercedes S-Klasse W223/V223/Z223^
S-Class Coupé (C126)^Mercedes-Benz^S-Class (W126-C126) | 1979-1992^Mercedes-Benz[S-Class (W126-C126) | 1979-1992^MB^SK^^2d^^Mercedes-Benz S-Klasse^
S-Class Cabriolet (A217)^Mercedes-Benz^S-Class (A217) | 2016-2020^Mercedes-Benz[S-Class (A217) | 2016-2020^MB^SK^^2d^^Mercedes-Benz S-Klasse^
SL (R107)^Mercedes-Benz^SL (R107) | 1971-1989^Mercedes-Benz[SL (R107) | 1971-1989^MB^SL^^cabriolet^^Mercedes SL R107^
SL (R129)^Mercedes-Benz^SL (R129) | 1989-2000^Mercedes-Benz[SL (R129) | 1989-2000^MB^SL^^cabriolet^^Mercedes SL R129^
SL (R230)^Mercedes-Benz^SL (R230) | 2001-2011^Mercedes-Benz[SL (R230) | 2001-2011^MB^SL^^cabriolet^^Mercedes SL R230^
SL (R232)^Mercedes-Benz^SL (R232) | 2022-present^Mercedes-Benz[SL (R232) | 2022-present^MB^SL^^cabriolet^^Mercedes-Benz SL-Klasse^
SL (W113)^Mercedes-Benz^SL (W113) | 1963-1971^Mercedes-Benz[SL (W113) | 1963-1971^MB^SL^^cabriolet^^Mercedes-Benz SL-Klasse^
SLK - SLC (R172)^Mercedes-Benz^SLK - SLC (R172) | 2011-2020^Mercedes-Benz[SLK - SLC (R172) | 2011-2020^MB^SL^^cabriolet^^Mercedes SLK^
SLK (R172)^Mercedes-Benz^SLK - SLC (R172) | 2011-2020^Mercedes-Benz[SLK - SLC (R172) | 2011-2020^MB^SL^^cabriolet^^Mercedes SLK^
SLK (R170)^Mercedes-Benz^SLK (R170) | 1996-2004^Mercedes-Benz[SLK (R170) | 1996-2004^MB^SL^^cabriolet^^Mercedes SLK R170^
SLK (R171)^Mercedes-Benz^SLK (R171) | 2004-2011^Mercedes-Benz[SLK (R171) | 2004-2011^MB^SL^^cabriolet^^Mercedes SLK^
SLS AMG Coupé (C197)^Mercedes-Benz^SLS AMG Coupé (C197) | 2010-2015^Mercedes-Benz[SLS AMG Coupé (C197) | 2010-2015^MB^SS^^cabriolet^^Mercedes-Benz^
Sprinter (W901-W905)^Mercedes-Benz^Sprinter (W901-W905) | 1995-2006^Mercedes-Benz[Sprinter (W901-W905) | 1995-2006^MB^SP^^van^^Mercedes Sprinter^
Sprinter (W906)^Mercedes-Benz^Sprinter (W906) | 2006-2018^Mercedes-Benz[Sprinter (W906) | 2006-2018^MB^SP^^van^^Mercedes Sprinter^
Sprinter (W907 - W910)^Mercedes-Benz^Sprinter (W907 - W910) | 2018-present^Mercedes-Benz[Sprinter (W907 - W910) | 2018-present^MB^SP^^van^^Mercedes Sprinter^
eSprinter^Mercedes-Benz^Sprinter (W907 - W910) | 2018-present^Mercedes-Benz[Sprinter (W907 - W910) | 2018-present^MB^SP^^van^^Mercedes Sprinter^
Sprinter (W907)^Mercedes-Benz^Sprinter (W907 - W910) | 2018-present^Mercedes-Benz[Sprinter (W907 - W910) | 2018-present^MB^SP^^van^^Mercedes Sprinter^
Sprinter (W910)^Mercedes-Benz^Sprinter (W907 - W910) | 2018-present^Mercedes-Benz[Sprinter (W907 - W910) | 2018-present^MB^SP^^van^^Mercedes Sprinter^
Vaneo (W414)^Mercedes-Benz^Vaneo (W414) | 2002-2005^Mercedes-Benz[Vaneo (W414) | 2002-2005^MB^VA^^mpv^^Mercedes Vaneo^
Vario (W670)^Mercedes-Benz^Vario (W670) | 1996-2013^Mercedes-Benz[Vario (W670) | 1996-2013^MB^VR^^van^^Mercedes-Benz^
V-Class (W447)^Mercedes-Benz^Vito - V-Class (W447) | 2014-present^Mercedes-Benz[Vito - V-Class (W447) | 2014-present^MB^VK^^mpv^^Mercedes V-Klasse 447^
V-Class (W638)^Mercedes-Benz^Vito - V-Class (W638) | 1997-2003^Mercedes-Benz[Vito - V-Class (W638) | 1997-2003^MB^VK^^mpv^^Mercedes V Klasse^
Viano (W639)^Mercedes-Benz^Vito - Viano (W639) | 2003-2014^Mercedes-Benz[Vito - Viano (W639) | 2003-2014^MB^VI^^mpv^^Mercedes Vito 639^
Vito - V-Class (W447)^Mercedes-Benz^Vito - V-Class (W447) | 2014-present^Mercedes-Benz[Vito - V-Class (W447) | 2014-present^MB^VI^^van & mpv^^Mercedes V-Klasse 447^
Vito - Viano (W639)^Mercedes-Benz^Vito - Viano (W639) | 2003-2014^Mercedes-Benz[Vito - Viano (W639) | 2003-2014^MB^VI^^van & mpv^^Mercedes Vito 639^
Vito (W447)^Mercedes-Benz^Vito - V-Class (W447) | 2014-present^Mercedes-Benz[Vito - V-Class (W447) | 2014-present^MB^VI^^van & mpv^^Mercedes Vito 447^
Vito (W638)^Mercedes-Benz^Vito - V-Class (W638) | 1997-2003^Mercedes-Benz[Vito - V-Class (W638) | 1997-2003^MB^VI^^van & mpv^^Mercedes Vito^
Vito Combi (W638)^Mercedes-Benz^Vito - V-Class (W638) | 1997-2003^Mercedes-Benz[Vito - V-Class (W638) | 1997-2003^MB^VI^^mpv^^Mercedes Vito^
Vito (W639)^Mercedes-Benz^Vito - Viano (W639) | 2003-2014^Mercedes-Benz[Vito - Viano (W639) | 2003-2014^MB^VI^^van & mpv^^Mercedes Vito 639^
Vito Combi (W639)^Mercedes-Benz^Vito - Viano (W639) | 2003-2014^Mercedes-Benz[Vito - Viano (W639) | 2003-2014^MB^VI^^mpv^^Mercedes Vito 639^
Vito 108 (W638)^Mercedes-Benz^Vito - V-Class (W638) | 1997-2003^Mercedes-Benz[Vito - V-Class (W638) | 1997-2003^MB^VI^^mpv^^Mercedes Vito^
Vito 110 (W638)^Mercedes-Benz^Vito - V-Class (W638) | 1997-2003^Mercedes-Benz[Vito - V-Class (W638) | 1997-2003^MB^VI^^mpv^^Mercedes Vito^
Vito Snoeks Comfort L1/L2 (W447)^Mercedes-Benz^Vito - V-Class (W447) | 2014-present^Mercedes-Benz[Vito - V-Class (W447) | 2014-present^MB^VI^^van^^Mercedes V-Klasse 447^
Vito Snoeks Comfort L3 (W447)^Mercedes-Benz^Vito - V-Class (W447) | 2014-present^Mercedes-Benz[Vito - V-Class (W447) | 2014-present^MB^VI^^van^^Mercedes V-Klasse 447^
Vito Tourer (W447)^Mercedes-Benz^Vito - V-Class (W447) | 2014-present^Mercedes-Benz[Vito - V-Class (W447) | 2014-present^MB^VI^^mpv^^Mercedes V-Klasse 447^
Vito Tourer Base (W447)^Mercedes-Benz^Vito - V-Class (W447) | 2014-present^Mercedes-Benz[Vito - V-Class (W447) | 2014-present^MB^VI^For models without roof rails^mpv^^Mercedes V-Klasse 447^
X-Class (W470)^Mercedes-Benz^X-Class (W470) | 2018-2020^Mercedes-Benz[X-Class (W470) | 2018-2020^MB^XK^^pickup^^Mercedes X-klasse^
Cyberster^MG^Cyberster | 2023-present^MG[Cyberster | 2023-present^MG^CY^^cabriolet^^^
EHS^MG^HS | 2018-2024^MG[HS | 2018-2024^MG^HS^^suv^^MG EHS^
eHS^MG^HS | 2018-2024^MG[HS | 2018-2024^MG^HS^^suv^^MG EHS^
F^MG^F | 1995-2001^MG[F | 1995-2001^MG^F^^cabriolet^^^
HS^MG^HS | 2018-2024^MG[HS | 2018-2024^MG^HS^^suv^^MG HS^
HS II^MG^HS II | 2024-present^MG[HS II | 2024-present^MG^HS^^suv^^MG HS^
IM5^MG^IM5 | 2024-present^MG[IM5 | 2024-present^MG^IM^^4d^^^
Marvel R^MG^Marvel R | 2021-present^MG[Marvel R | 2021-present^MG^MR^^suv^^MG Marvel R^
Midget^MG^Midget | 1961-1979^MG[Midget | 1961-1979^MG^MI^^suv^^^
MG 3 I^MG^MG 3 I | 2013-2022^MG[MG 3 I | 2013-2022^MG^MG3^^5d^^MG3^
MG 3 II^MG^MG 3 II | 2024-present^MG[MG 3 II | 2024-present^MG^MG3^^5d^^MG MG3^
3 Hybrid+^MG^MG 3 II | 2024-present^MG[MG 3 II | 2024-present^MG^MG3^^5d^^MG 3 Hybrid+^
MG 4 EV^MG^MG 4 EV | 2022-present^MG[MG 4 EV | 2022-present^MG^MG4^^5d^^MG4^
MG 5^MG^MG 5 | 2020-present^MG[MG 5 | 2020-present^MG^MG5^^5d & wagon^^MG5^
MG 5 EV^MG^MG 5 EV | 2020-present^MG[MG 5 EV | 2020-present^MG^MG5^^wagon^^MG5^
MG S5 EV^MG^MG S5 EV | 2025-present^MG[MG S5 EV | 2025-present^MG^MGS^^suv^^MG5^
MG S6 EV^MG^MG S6 EV | 2025-present^MG[MG S6 EV | 2025-present^MG^MG6^^suv^^^
MGA^MG^MGA | 1955-1962^MG[MGA | 1955-1962^MG^MGA^^cabriolet^^^
MGB & RV8^MG^MGB & RV8 | 1962-1996^MG[MGB & RV8 | 1962-1996^MG^MGB^^cabriolet^^^
MGB^MG^MGB & RV8 | 1962-1996^MG[MGB & RV8 | 1962-1996^MG^MGB^^cabriolet^^^
One^MG^One | 2021-present^MG[One | 2021-present^MG^ON^^suv^^^
RV8^MG^MGB & RV8 | 1962-1996^MG[MGB & RV8 | 1962-1996^MG^MGB^^cabriolet^^^
S9 PHEV^MG^S9 PHEV | 2024-present^MG[S9 PHEV | 2024-present^MG^S9P^^suv^^^
TF^MG^TF | 2002-2012^MG[TF | 2002-2012^MG^TF^^cabriolet^^^
ZR^MG^ZR | 2001-2005^MG[ZR | 2001-2005^MG^ZR^^3d^^^
ZS^MG^ZS | 2001-2005^MG[ZS | 2001-2005^MG^ZS^^4d^^MG ZS^
ZS SUV^MG^ZS SUV | 2017-2024^MG[ZS SUV | 2017-2024^MG^ZS^^suv^^MG ZS^
ZS SUV EV^MG^ZS SUV | 2017-2024^MG[ZS SUV | 2017-2024^MG^ZS^^suv^^MG ZS-EV^
ZS SUV II^MG^ZS SUV II | 2024-present^MG[ZS SUV II | 2024-present^MG^ZS^^suv^^MG ZS^
ZS SUV II Hybrid+^MG^ZS SUV II | 2024-present^MG[ZS SUV II | 2024-present^MG^ZS^^suv^^^
ZT^MG^ZT | 2001-2005^MG[ZT | 2001-2005^MG^ZT^^4d^^^
ZT Estate^MG^ZT | 2001-2005^MG[ZT | 2001-2005^MG^ZT^^wagon^^^
ZT Touring^MG^ZT | 2001-2005^MG[ZT | 2001-2005^MG^ZT^^wagon^^^
Aceman (J05)^Mini^Aceman (J05) | 2024-present^Mini[Aceman (J05) | 2024-present^MIN^AM^^suv^^^
Cabriolet (F57 - Mk III)^Mini^Cabriolet (F57 - Mk III) | 2016-present^Mini[Cabriolet (F57 - Mk III) | 2016-present^MIN^F57^^2d^^Mini Cabrio^
Cabriolet (Mk I - Mk II)^Mini^Cabriolet (Mk I) | 2005-2009{Mini[Cabriolet (R57 - Mk II) | 2009-2016^Mini[Cabriolet (Mk I) | 2005-2009{Mini[Cabriolet (R57 - Mk II) | 2009-2016^MIN^MI^^2d^^Mini Cabrio^
Cabriolet (R52 - Mk I)^Mini^Cabriolet (Mk I) | 2005-2009^Mini[Cabriolet (Mk I) | 2005-2009^MIN^MI^^3d^^Mini Cabrio^
Cabriolet (R57 - Mk II)^Mini^Cabriolet (R57 - Mk II) | 2009-2016^Mini[Cabriolet (R57 - Mk II) | 2009-2016^MIN^MI^^2d^^Mini Cabrio^
Cabriolet (Mk III)^Mini^Cabriolet (F57 - Mk III) | 2016-present^Mini[Cabriolet (F57 - Mk III) | 2016-present^MIN^MI^^2d^^Mini Cabrio^
Clubman (F54)^Mini^Clubman (F54) | 2015-present^Mini[Clubman (F54) | 2015-present^MIN^CL^^wagon^^Mini Clubman^
Clubman (R55)^Mini^Clubman (R55) | 2007-2014^Mini[Clubman (R55) | 2007-2014^MIN^CL^^wagon^^Mini Clubman^
Clubman (F54 - Clubvan (F54)^Mini^Clubman (F54) | 2015-present{Mini[Clubvan (F54) | 2012-present^Mini[Clubman (F54) | 2015-present{Mini[Clubvan (F54) | 2012-present^MIN^CL^^wagon^^Mini Clubman^
Clubvan (F54)^Mini^Clubman (F54) | 2015-present{Mini[Clubvan (F54) | 2012-present^Mini[Clubman (F54) | 2015-present{Mini[Clubvan (F54) | 2012-present^MIN^CL^^wagon^^Mini Clubvan F54^
Cooper^Mini^Cooper | 1958-2000^Mini[Cooper | 1958-2000^MIN^MI^^3d^^Mini Cooper^
Cooper (Mk III - F55)^Mini^One - Cooper (F55 - F56 - Mk III) | 2014-2024^Mini[One - Cooper (F55 - F56 - Mk III) | 2014-2024^MIN^MI^^5d^^Mini Cooper^
Cooper (Mk III - F56)^Mini^One - Cooper (F55 - F56 - Mk III) | 2014-2024^Mini[One - Cooper (F55 - F56 - Mk III) | 2014-2024^MIN^MI^^3d^^Mini Cooper^
Cooper (F65 - J01)^Mini^Cooper (F65 - F66 - F67 - J01 - Mk IV) | 2024-present^Mini[Cooper (F65 - F66 - F67 - J01 - Mk IV) | 2024-present^MIN^MI^^5d^^Mini Cooper/One J01/F65/F66^
Cooper (F66 - J01)^Mini^Cooper (F65 - F66 - F67 - J01 - Mk IV) | 2024-present^Mini[Cooper (F65 - F66 - F67 - J01 - Mk IV) | 2024-present^MIN^MI^^3d^^Mini Cooper/One J01/F65/F66^Mini cooper SE
Cooper (F67 - J01)^Mini^Cooper (F65 - F66 - F67 - J01 - Mk IV) | 2024-present^Mini[Cooper (F65 - F66 - F67 - J01 - Mk IV) | 2024-present^MIN^MI^^cabriolet^^^
Cooper S (R53 - Mk I)^Mini^One - Cooper (R50 - R53 - Mk I) | 2001-2006^Mini[One - Cooper (R50 - R53 - Mk I) | 2001-2006^MIN^MI^^3d^^Mini Cooper S^
Cooper S (R56 - Mk II)^Mini^One - Cooper (R56 - Mk II) | 2006-2014^Mini[One - Cooper (R56 - Mk II) | 2006-2014^MIN^MI^^3d^^Mini Cooper S^
Countryman^Mini^Countryman (R60) | 2010-2016^Mini[Countryman (R60) | 2010-2016^MIN^CO^^suv^^Mini Countryman^
Countryman (F60)^Mini^Countryman (F60) | 2016-2023^Mini[Countryman (F60) | 2016-2023^MIN^CO^^suv^^Mini Countryman^
Countryman (R60)^Mini^Countryman (R60) | 2010-2016^Mini[Countryman (R60) | 2010-2016^MIN^CO^^suv^^Mini Countryman^
Countryman (U25)^Mini^Countryman (U25) | 2023-present^Mini[Countryman (U25) | 2023-present^MIN^CO^^suv^^Mini Countryman U25^
Coupé - Roadster^Mini^Coupe (R58) - Roadster (R59) | 2011-2015^Mini[Coupe (R58) - Roadster (R59) | 2011-2015^MIN^COU^^cabriolet^^^
Coupé (R58)^Mini^Coupe (R58) - Roadster (R59) | 2011-2015^Mini[Coupe (R58) - Roadster (R59) | 2011-2015^MIN^COU^^coupé^^^
One - Cooper (F55 - F56 - Mk III)^Mini^One - Cooper (F55 - F56 - Mk III) | 2014-2024^Mini[One - Cooper (F55 - F56 - Mk III) | 2014-2024^MIN^MI^^3d & 5d^^Mini One^
One - Cooper (F55 - Mk III)^Mini^One - Cooper (F55 - F56 - Mk III) | 2014-2024^Mini[One - Cooper (F55 - F56 - Mk III) | 2014-2024^MIN^MI^^3d^^Mini One^
One - Cooper (F56 - Mk III)^Mini^One - Cooper (F55 - F56 - Mk III) | 2014-2024^Mini[One - Cooper (F55 - F56 - Mk III) | 2014-2024^MIN^MI^^3d^^Mini One^
One - Cooper (Mk I - Mk II)^Mini^One - Cooper (R50 - R53 - Mk I) | 2001-2006{Mini[One - Cooper (R56 - Mk II) | 2006-2014^Mini[One - Cooper (R50 - R53 - Mk I) | 2001-2006{Mini[One - Cooper (R56 - Mk II) | 2006-2014^MIN^MI^^3d^^Mini One^
One - Cooper (Mk I)^Mini^One - Cooper (R50 - R53 - Mk I) | 2001-2006^Mini[One - Cooper (R50 - R53 - Mk I) | 2001-2006^MIN^MI^^3d^^Mini One^
One - Cooper (Mk II)^Mini^One - Cooper (R56 - Mk II) | 2006-2014^Mini[One - Cooper (R56 - Mk II) | 2006-2014^MIN^MI^^3d^^Mini One^
One - Cooper (R50 - Mk I)^Mini^One - Cooper (R50 - R53 - Mk I) | 2001-2006^Mini[One - Cooper (R50 - R53 - Mk I) | 2001-2006^MIN^MI^^3d^^Mini One^
One - Cooper (R50 - R53 - Mk I)^Mini^One - Cooper (R50 - R53 - Mk I) | 2001-2006^Mini[One - Cooper (R50 - R53 - Mk I) | 2001-2006^MIN^MI^^3d^^Mini Cooper/One R53^
One - Cooper (R56 - Mk II)^Mini^One - Cooper (R56 - Mk II) | 2006-2014^Mini[One - Cooper (R56 - Mk II) | 2006-2014^MIN^MI^^3d^^Mini R56^
One (Mk I)^Mini^One - Cooper (R50 - R53 - Mk I) | 2001-2006^Mini[One - Cooper (R50 - R53 - Mk I) | 2001-2006^MIN^MI^^3d^^Mini One^
PaceMan^Mini^Paceman | 2012-2016^Mini[Paceman | 2012-2016^MIN^PA^^suv^^Mini Paceman^
Roadster (F59)^Mini^Coupe (R58) - Roadster (R59) | 2011-2015^Mini[Coupe (R58) - Roadster (R59) | 2011-2015^MIN^COU^For models without roof rails^cabriolet^^Mini Roadster^
Roadster (R59)^Mini^Coupe (R58) - Roadster (R59) | 2011-2015^Mini[Coupe (R58) - Roadster (R59) | 2011-2015^MIN^COU^For models without roof rails^cabriolet^^Mini Roadster R59^
Airtrek^Mitsubishi^Outlander I | 2003-2007^Mitsubishi[Outlander I | 2003-2007^MIT^OU^For models without roof rails; Mounting on fixed mounting points^suv^^Mitsubishi^
ASX^Mitsubishi^ASX | 2010-2022^Mitsubishi[ASX | 2010-2022^MIT^AS^^suv^^Mitsubishi ASX^
ASX II^Mitsubishi^ASX II | 2023-present^Mitsubishi[ASX II | 2023-present^MIT^AS^^suv^^Mitsubishi ASX^
Canter VI^Mitsubishi^Canter VI | 1996-2005^Mitsubishi[Canter VI | 1996-2005^MIT^CR^^truck^^Mitsubishi^
Canter VII^Mitsubishi^Canter VII | 2005-2012^Mitsubishi[Canter VII | 2005-2012^MIT^CR^^truck^^Mitsubishi^
Canter VIII^Mitsubishi^Canter VIII | 2012-present^Mitsubishi[Canter VIII | 2012-present^MIT^CR^^truck^^Mitsubishi^
Carisma I^Mitsubishi^Carisma I | 1995-1999^Mitsubishi[Carisma I | 1995-1999^MIT^CA^^4d & 5d^^Mitsubishi Carisma^
Carisma II^Mitsubishi^Carisma II | 2000-2005^Mitsubishi[Carisma II | 2000-2005^MIT^CA^^4d & 5d^^Mitsubishi Carisma^
Colt (C50)^Mitsubishi^Colt (C50) | 1988-1992^Mitsubishi[Colt (C50) | 1988-1992^MIT^CO^^3d^^Mitsubishi Colt^
Colt (CA0)^Mitsubishi^Colt (CA0) | 1992-1996^Mitsubishi[Colt (CA0) | 1992-1996^MIT^CO^^3d^^Mitsubishi Colt^
Colt (CJ0)^Mitsubishi^Colt (CJ0) | 1996-2004^Mitsubishi[Colt (CJ0) | 1996-2004^MIT^CO^^3d^^Mitsubishi Colt^
Colt (Z30)^Mitsubishi^Colt (Z30) | 2004-2013^Mitsubishi[Colt (Z30) | 2004-2013^MIT^CO^^3d & 5d^^Mitsubishi Colt^
Colt CZC (Z30)^Mitsubishi^Colt (Z30) | 2004-2013^Mitsubishi[Colt (Z30) | 2004-2013^MIT^CO^^cabriolet^^Mitsubishi Colt^
Colt VII^Mitsubishi^Colt VII | 2023-present^Mitsubishi[Colt VII | 2023-present^MIT^CO^^5d^^Mitsubishi Colt^
Eclipse Cross^Mitsubishi^Eclipse Cross | 2018-2025^Mitsubishi[Eclipse Cross | 2018-2025^MIT^EC^^suv^^Mitsubishi Eclipse Cross^
Eclipse Cross II^Mitsubishi^Eclipse Cross II | 2025-present^Mitsubishi[Eclipse Cross II | 2025-present^MIT^EC^^suv^^Mitsubishi Eclipse Cross^
Eclipse Spyder (3G)^Mitsubishi^Eclipse (3G) | 2000-2005^Mitsubishi[Eclipse (3G) | 2000-2005^MIT^EC^^cabriolet^^Mitsubishi^
Eclipse Spyder (4G)^Mitsubishi^Eclipse (4G) | 2005-2012^Mitsubishi[Eclipse (4G) | 2005-2012^MIT^EC^^cabriolet^^Mitsubishi^
Galant (E30)^Mitsubishi^Galant (E30) | 1987-1993^Mitsubishi[Galant (E30) | 1987-1993^MIT^GA^^4d^^Mitsubishi Galant^
Galant (E50)^Mitsubishi^Galant (E50) | 1993-1996^Mitsubishi[Galant (E50) | 1993-1996^MIT^GA^^4d & 5d^^Mitsubishi Galant^
Galant (EAO)^Mitsubishi^Galant (EAO) | 1996-2006^Mitsubishi[Galant (EAO) | 1996-2006^MIT^GA^^4d & wagon^^Mitsubishi Galant^
Galopper^Mitsubishi^Galopper | 1998-2001^Mitsubishi[Galopper | 1998-2001^MIT^GL^^suv^^Mitsubishi^
Grandis^Mitsubishi^Grandis | 2003-2010^Mitsubishi[Grandis | 2003-2010^MIT^GR^^mpv^^Mitsubishi Grandis^
Grandis (DJB)^Mitsubishi^Grandis (DJB) | 2025-present^Mitsubishi[Grandis (DJB) | 2025-present^MIT^GR^^suv^^Mitsubishi Grandis^
I-MiEV^Mitsubishi^I-MiEV | 2009-present^Mitsubishi[I-MiEV | 2009-present^MIT^IM^^5d^^Mitsubishi^
L200 II^Mitsubishi^L200 II | 1991-1996^Mitsubishi[L200 II | 1991-1996^MIT^L2^^pickup^^Mitsubishi L200^
L200 III^Mitsubishi^L200 III | 1996-2006^Mitsubishi[L200 III | 1996-2006^MIT^L2^For models without roof rails^pickup^^Mitsubishi L200^
L200 IV^Mitsubishi^L200 IV | 2006-2016^Mitsubishi[L200 IV | 2006-2016^MIT^L2^For models without roof rails^pickup^^Mitsubishi L200^
L200 V^Mitsubishi^L200 V | 2016-2023^Mitsubishi[L200 V | 2016-2023^MIT^L2^^pickup^^Mitsubishi L200^
L300^Mitsubishi^L300 | 1986-1994^Mitsubishi[L300 | 1986-1994^MIT^L3^^van & mpv^^Mitsubishi^
L400^Mitsubishi^L400 | 1994-2007^Mitsubishi[L400 | 1994-2007^MIT^L4^^van & mpv^^Mitsubishi^
Lancer (C6A-C7A)^Mitsubishi^Lancer (C6A-C7A) | 1988-1991^Mitsubishi[Lancer (C6A-C7A) | 1988-1991^MIT^LA^^4d^^Mitsubishi Lancer^
Lancer (CB1A-CD8A)^Mitsubishi^Lancer (CB1A-CD8A) | 1991-1996^Mitsubishi[Lancer (CB1A-CD8A) | 1991-1996^MIT^LA^^wagon^^Mitsubishi Lancer^
Lancer (CJ0)^Mitsubishi^Lancer (CJ0) | 1996-2003^Mitsubishi[Lancer (CJ0) | 1996-2003^MIT^LA^^wagon^^Mitsubishi Lancer^
Lancer (CS0)^Mitsubishi^Lancer (CS0) | 2003-2007^Mitsubishi[Lancer (CS0) | 2003-2007^MIT^LA^^4d & wagon^^Mitsubishi Lancer^
Lancer (CY0)^Mitsubishi^Lancer (CY0) | 2007-2017^Mitsubishi[Lancer (CY0) | 2007-2017^MIT^LA^^4d & 5d^^Mitsubishi Lancer^
Lancer Evo (CY0)^Mitsubishi^Lancer (CY0) | 2007-2017^Mitsubishi[Lancer (CY0) | 2007-2017^MIT^LA^^4d & 5d^^Mitsubishi Lancer Evolution^
Lancer Sportback (CY0)^Mitsubishi^Lancer (CY0) | 2007-2017^Mitsubishi[Lancer (CY0) | 2007-2017^MIT^LA^^4d^^Mitsubishi Lancer^
Grand Lancer/Lancer EX^Mitsubishi^Grand Lancer/Lancer EX | 2017-present^Mitsubishi[Grand Lancer/Lancer EX | 2017-present^MIT^LA^^4d^^Mitsubishi Lancer^
Outlander GS^Mitsubishi^Outlander II | 2007-2012^Mitsubishi[Outlander II | 2007-2012^MIT^OU^For models without roof rails^suv^^Mitsubishi Outlander^
Outlander I^Mitsubishi^Outlander I | 2003-2007^Mitsubishi[Outlander I | 2003-2007^MIT^OU^^suv^^Mitsubishi Outlander^
Outlander II^Mitsubishi^Outlander II | 2007-2012^Mitsubishi[Outlander II | 2007-2012^MIT^OU^^suv^^Mitsubishi Outlander^
Outlander III^Mitsubishi^Outlander III | 2012-2021^Mitsubishi[Outlander III | 2012-2021^MIT^OU^^suv^^Mitsubishi Outlander^
Outlander IV (GN)^Mitsubishi^Outlander IV (GN) | 2021-present^Mitsubishi[Outlander IV (GN) | 2021-present^MIT^OU^^suv^^Mitsubishi Outlander^
Outlander Sport^Mitsubishi^Outlander I | 2003-2007^Mitsubishi[Outlander I | 2003-2007^MIT^OU^^suv^^Mitsubishi Outlander^
Pajero I^Mitsubishi^Pajero I | 1982-1990^Mitsubishi[Pajero I | 1982-1990^MIT^PA^^suv^^Mitsubishi Pajero^
Pajero II^Mitsubishi^Pajero II - Shogun II | 1991-2000^Mitsubishi[Pajero II - Shogun II | 1991-2000^MIT^PA^^suv^^Mitsubishi Pajero^
Pajero III^Mitsubishi^Pajero III - Shogun III | 2000-2007^Mitsubishi[Pajero III - Shogun III | 2000-2007^MIT^PA^^suv^^Mitsubishi Pajero^
Pajero III - Shogun III^Mitsubishi^Pajero III - Shogun III | 2000-2007^Mitsubishi[Pajero III - Shogun III | 2000-2007^MIT^PA^^suv^^Mitsubishi Pajero^
Pajero IV^Mitsubishi^Pajero IV - Shogun IV | 2007-present^Mitsubishi[Pajero IV - Shogun IV | 2007-present^MIT^PA^^suv^^Mitsubishi Pajero^
Pajero IV - Shogun IV^Mitsubishi^Pajero IV - Shogun IV | 2007-present^Mitsubishi[Pajero IV - Shogun IV | 2007-present^MIT^PA^^suv^^Mitsubishi Pajero^
Pajero Pinin - Shogun Pinin^Mitsubishi^Pajero Pinin - Shogun Pinin | 1998-2006^Mitsubishi[Pajero Pinin - Shogun Pinin | 1998-2006^MIT^PP^^suv^^Mitsubishi Pajero Pinin^
Pajero Sport^Mitsubishi^Pajero Sport - Shogun Sport | 1996-2008^Mitsubishi[Pajero Sport - Shogun Sport | 1996-2008^MIT^PS^^wagon^^Mitsubishi^
Pajero Sport (PA)^Mitsubishi^Pajero Sport - Shogun Sport | 1996-2008^Mitsubishi[Pajero Sport - Shogun Sport | 1996-2008^MIT^PS^^suv^^Mitsubishi Pajero Sport^
Pajero Sport II^Mitsubishi^Pajero IV - Shogun IV | 2007-present^Mitsubishi[Pajero IV - Shogun IV | 2007-present^MIT^PS^^suv^^Mitsubishi Pajero Sport^
Sigma^Mitsubishi^Sigma | 1990-1996^Mitsubishi[Sigma | 1990-1996^MIT^SI^^wagon^^Mitsubishi^
Space Runner I^Mitsubishi^Space Runner I | 1992-1999^Mitsubishi[Space Runner I | 1992-1999^MIT^SR^^mpv^^Mitsubishi^
Space Runner II^Mitsubishi^Space Runner II | 1999-2002^Mitsubishi[Space Runner II | 1999-2002^MIT^SR^^mpv^^Mitsubishi^
Space Star I^Mitsubishi^Space Star I | 1998-2005^Mitsubishi[Space Star I | 1998-2005^MIT^SP^^wagon^^Mitsubishi^
Attrage^Mitsubishi^Space Star II | 2013-present^Mitsubishi[Space Star II | 2013-present^MIT^AE^^4d^^Mitsubishi^
Space Star II^Mitsubishi^Space Star II | 2013-present^Mitsubishi[Space Star II | 2013-present^MIT^SP^^suv^^Mitsubishi Space Star^
Space Wagon I^Mitsubishi^Space Wagon I | 1991-1998^Mitsubishi[Space Wagon I | 1991-1998^MIT^SW^^mpv^^Mitsubishi Space Wagon^
Space Wagon II^Mitsubishi^Space Wagon II | 1998-2004^Mitsubishi[Space Wagon II | 1998-2004^MIT^SW^^mpv^^Mitsubishi Space Wagon^
100NX (B13)^Nissan^100NX (B13) | 1990-1995^Nissan[100NX (B13) | 1990-1995^NIS^NX^^coupé^^Nissan^
